key-flower,product-name,cultivar,thc-level,cbd-level,radiation,wholesaler,genetic,origin,lowest-offer
cannamedical sativa classic: ghost train haze,cannamedical sativa classic,ghost train haze,18.0,0.1,non-irradiated,Cannamedical,Sativa,Kanada,0.0
navcora thc22 spotlight porto: master kush,navcora thc22 spotlight porto,master kush,22.0,0.1,irradiated,Navcora,Indica,Portugal,0.0
420 natural 17/1 ca trp: tropicana cookies,420 natural 17/1 ca trp,tropicana cookies,16.4,0.1,no,420 Pharma,Hybrid Sativa-dominant,Kanada,9.49
demecan craft t4n-g 25:01: banjo,demecan craft t4n-g 25:01,banjo,27.1,0.1,no,Demecan,Sativa,Kanada,0.0
cannabis flos 25/1 prt ku.: strawberry banana,cannabis flos 25/1 prt ku.,strawberry banana,23.9,1.0,no,Canify,Hybrid,Portugal,0.0
cnbs frf 21/1: fire fruit,cnbs frf 21/1,fire fruit,20.7,0.1,no,Medical CNBS,Hybrid,,0.0
demecan core cros 26:01: crossbow,demecan core cros 26:01,crossbow,,,,,,,0.0
demecan 27:01 petaluma: tally man,demecan 27:01 petaluma,tally man,27.0,0.1,non-irradiated,Demecan,Hybrid,Kanada,0.0
therismos 27/1 jfg: jet fuel gelato,therismos 27/1 jfg,jet fuel gelato,27.0,0.1,non-irradiated,Therismos,Hybrid,Kolumbien,0.0
green karat fs: fiji sunset,green karat fs,fiji sunset,23.9,0.1,non-irradiated,Cantourage,Hybrid,Kanada,0.0
kejf.spz 31/1: spritzer,kejf.spz 31/1,spritzer,31.0,0.1,non-irradiated,CNBS Pharma GmbH,Hybrid,Kanada,0.0
tilray thc18 spotlight porto: girl scout cookies,tilray thc18 spotlight porto,girl scout cookies,18.0,0.1,irradiated,Tilray,Hybrid,Portugal,0.0
demecan craft permanent marker 22:01: permanent marker,demecan craft permanent marker 22:01,permanent marker,,,,,,Deutschland,16.42
bathera 26/1: polar pop,bathera 26/1,polar pop,26.1,0.14,no,Bathera,Hybrid Sativa-dominant,,0.0
cannamedical indica ultra au: el jefe,cannamedical indica ultra au,el jefe,26.0,1.0,gamma,Cannamedical,Indica,Australien,9.39
420 evolution 30/1 ca wes: wedding singer,420 evolution 30/1 ca wes,wedding singer,28.1,1.0,no,420 Pharma,Hybrid Indica-dominant,Kanada,0.0
bathera 25/1 velvet glove: gmo x nookies,bathera 25/1 velvet glove,gmo x nookies,24.1,0.1,no,Bathera,Hybrid Sativa-dominant,,0.0
medmen bcp t25: black cherry punch,medmen bcp t25,black cherry punch,25.0,0.1,non-irradiated,cansativa,Hybrid,Portugal,0.0
demecan mc strong drop: zkittlez x sherb bx1 x permanent marker #2,demecan mc strong drop,zkittlez x sherb bx1 x permanent marker #2,27.0,0.1,non-irradiated,Demecan,Hybrid,Kanada,0.0
khiron 20/1: hindu kush,khiron 20/1,hindu kush,20.0,0.1,non-irradiated,Pharmadrug,Indica,Spanien,0.0
green karat ro pt: runtz og,green karat ro pt,runtz og,27.0,0.1,non-irradiated,Cantourage,Hybrid,Portugal,0.0
aurora 1/16 vsp-ca: vespera,aurora 1/16 vsp-ca,vespera,1.0,16.0,irradiated,Aurora,Indica,Kanada,0.0
tilray craft thc25 ppv: platinum pave,tilray craft thc25 ppv,platinum pave,25.0,0.1,non-irradiated,Tilray,Hybrid,Deutschland,0.0
madrecan 21/1: granddaddy og,madrecan 21/1,granddaddy og,21.0,0.05,e-beam,Remexian,Indica,,0.0
imc cannabisblüten thc 22 t02: og kush,imc cannabisblüten thc 22 t02,og kush,22.2,0.2,e-beam,IMC,Indica,,0.0
remexian 27/1 gjy psl: pink slurricane,remexian 27/1 gjy psl,pink slurricane,27.4,1.0,no,Remexian,Hybrid Indica-dominant,,0.0
avaay signature 34/1 ogc: ocean grown cookies,avaay signature 34/1 ogc,ocean grown cookies,31.5,1.0,no,avaay,Hybrid Indica-dominant,,11.9
420 evolution 22/1 ca mac: mac 1,420 evolution 22/1 ca mac,mac 1,20.5,1.0,no,420 Pharma,Hybrid Indica-dominant,Kanada,8.99
tilray thc 25 indica no.1: master kush,tilray thc 25 indica no.1,master kush,25.0,0.1,irradiated,Tilray,Indica,Kanada,0.0
aphria strong 9: bienville,aphria strong 9,bienville,20.0,1.0,irradiated,Aphria,Sativa,Kanada,0.0
green karat mg: modified gas,green karat mg,modified gas,24.4,1.0,non-irradiated,Cantourage,Hybrid,Kanada,0.0
huala 27/1 uk cin: cinderella kush,huala 27/1 uk cin,cinderella kush,,,,,,,6.95
420 compound 27/1 ca gap: gastro pop,420 compound 27/1 ca gap,gastro pop,27.4,1.0,no,420 Pharma,Hybrid Indica-dominant,Kanada,0.0
cannabis flos 20/1 uy ku.: purple dog bud,cannabis flos 20/1 uy ku.,purple dog bud,20.2,0.1,no,Canify,Hybrid,Uruguay,0.0
pedanios 29/1 srd-ca: sourdough,pedanios 29/1 srd-ca,sourdough,31.0,0.1,e-beam,Aurora,Indica,Kanada,8.95
avaay signature 28/1 wb: waffle bites,avaay signature 28/1 wb,waffle bites,26.8,1.0,no,avaay,Hybrid Indica-dominant,Kanada,10.95
420 evolution 27/1 ca gmo: gmo,420 evolution 27/1 ca gmo,gmo,,,,,,Kanada,7.99
cm 20/1 gg4: gorilla glue 4,cm 20/1 gg4,gorilla glue 4,20.5,0.1,no,Cannamedical,Hybrid Indica-dominant,Nordmazedonien,0.0
remexian 24/1 grg: grape galena,remexian 24/1 grg,grape galena,21.8,0.1,no,Remexian,Hybrid Indica-dominant,Kanada,0.0
avaay 31/1 scg: super citra g.,avaay 31/1 scg,super citra g.,31.4,0.1,no,avaay,Hybrid Sativa-dominant,,0.0
cannamedical hybrid: headband,cannamedical hybrid,headband,20.0,0.1,non-irradiated,Cannamedical,Hybrid,Kanada,0.0
cannamedical hybrid classic: lost cause,cannamedical hybrid classic,lost cause,20.0,0.1,irradiated,Cannamedical,Hybrid,Kanada,0.0
wellford peak 28/1 ca pkm: pink kush mints,wellford peak 28/1 ca pkm,pink kush mints,28.0,0.1,non-irradiated,Therismos,Hybrid,Kanada,0.0
enua 25/1 j31: jokers #31,enua 25/1 j31,jokers #31,25.0,1.0,non-irradiated,enua,Hybrid,Portugal,0.0
420 evolution 30/1 ca flm: frozen lemon mints,420 evolution 30/1 ca flm,frozen lemon mints,29.62,0.4,no,420 Pharma,Hybrid Sativa-dominant,Kanada,0.0
tilray cannabisblüten thc 22: bienville,tilray cannabisblüten thc 22,bienville,,,,,,,0.0
bathera 30/1: polar pop,bathera 30/1,polar pop,27.1,0.06,no,Bathera,Hybrid Sativa-dominant,,0.0
cm 30/1 diamond: diamond mints,cm 30/1 diamond,diamond mints,27.6,0.1,no,Cannamedical,Hybrid Sativa-dominant,,0.0
avaay 26/1 sk: sour og kush,avaay 26/1 sk,sour og kush,27.7,0.1,no,avaay,Hybrid Indica-dominant,Kanada,0.0
peace naturals 29/1 sc: space cake,peace naturals 29/1 sc,space cake,29.0,0.1,non-irradiated,Peace Naturals,Hybrid,Kanada,0.0
typ 1 aphria: bienville,typ 1 aphria,bienville,20.0,1.0,irradiated,BfArM,Sativa,Deutschland,0.0
aurora 20/1 dnk: pink kush,aurora 20/1 dnk,pink kush,20.0,0.1,irradiated,Aurora,Indica,Dänemark,0.0
nimbus 24/1 gnc: grapes and cream,nimbus 24/1 gnc,grapes and cream,24.0,0.1,non-irradiated,Nimbus Health,Indica,Kanada,0.0
eufloria 24/1 ban: banjo,eufloria 24/1 ban,banjo,24.0,0.2,no,Remexian,Hybrid,,0.0
420 sungrown 22/1 ca lly: legendary larry,420 sungrown 22/1 ca lly,legendary larry,22.14,0.4,no,420 Pharma,Hybrid Indica-dominant,Kanada,0.0
imc cbd12 c01: god bud,imc cbd12 c01,god bud,0.7,12.0,irradiated,IMC,Hybrid,Spanien,0.0
huala 22/1 uk cin: cinderella kush,huala 22/1 uk cin,cinderella kush,21.48,0.2,no,420 Pharma,Hybrid Indica-dominant,,0.0
avaay 23/1 ck: critical kush,avaay 23/1 ck,critical kush,22.5,0.1,no,avaay,Hybrid Indica-dominant,Kanada,6.99
demecan craft marker 25:01: magic marker #2,demecan craft marker 25:01,magic marker #2,26.9,0.3,no,Demecan,Indica,,9.99
aurora 22/1: delahaze,aurora 22/1,delahaze,21.7,0.1,e-beam,Aurora,Sativa,Kanada,10.99
truu gt 31:01: kush cookies,truu gt 31:01,kush cookies,27.9,0.3,,Demecan,Hybrid Indica-dominant,,0.0
cnbs gelo 25/1: gelonade,cnbs gelo 25/1,gelonade,24.7,0.1,no,Medical CNBS,Indica,,0.0
420 natural 20/1 ca zrp: zour apple,420 natural 20/1 ca zrp,zour apple,20.0,0.1,non-irradiated,Four 20 Pharma,Hybrid,Kanada,0.0
kejf. skr 23/1: siggis kirsche,kejf. skr 23/1,siggis kirsche,23.0,0.1,non-irradiated,CNBS Pharma GmbH,Hybrid,Kanada,0.0
avaay 16/1 bbh: blueberry haze,avaay 16/1 bbh,blueberry haze,16.0,0.1,non-irradiated,Vayamed,Hybrid,Südafrika,0.0
nedcann ah 22/01 amnesia: amnesia #d21,nedcann ah 22/01 amnesia,amnesia #d21,22.0,0.1,non-irradiated,Nedcann,Hybrid,Nordmazedonien,0.0
demecan sc low drop: vanilla ice,demecan sc low drop,vanilla ice,17.2,0.3,no,Demecan,Hybrid Indica-dominant,,0.0
420 evolution 20/1 ca pld: plum driver,420 evolution 20/1 ca pld,plum driver,20.51,1.0,no,420 Pharma,Hybrid Indica-dominant,Kanada,0.0
420 evolution 27/1 ca bul: bucket list,420 evolution 27/1 ca bul,bucket list,26.11,0.4,no,420 Pharma,Sativa,Kanada,0.0
22/1 vayamed cannabis flos: ghost train haze,22/1 vayamed cannabis flos,ghost train haze,21.7,0.1,e-beam,Vayamed,Sativa,,0.0
420 balanced 7/7 pt slg: super lemon g,420 balanced 7/7 pt slg,super lemon g,5.63,6.81,no,420 Pharma,Hybrid Sativa-dominant,,0.0
drapalin 20/1 bafokeng choice: white lemon x marakabei local,drapalin 20/1 bafokeng choice,white lemon x marakabei local,20.0,0.1,non-irradiated,Drapalin Pharmaceuticals,Hybrid,Lesotho,0.0
27/1 amici sb: strawberry banana,27/1 amici sb,strawberry banana,27.0,0.1,non-irradiated,cansativa,Hybrid,Portugal,0.0
therismos 22/1 dsm: dark side of the moon,therismos 22/1 dsm,dark side of the moon,22.0,0.1,non-irradiated,Therismos,Hybrid,Kanada,0.0
grow 20 eu: euforia,grow 20 eu,euforia,20.0,0.1,non-irradiated,Cantourage,Hybrid,Nordmazedonien,0.0
420 compound 27/1 ca bbw: bling blaow,420 compound 27/1 ca bbw,bling blaow,27.0,1.0,non-irradiated,Four 20 Pharma,Hybrid,Kanada,0.0
420 evolution 25/1 ca wes: wedding singer,420 evolution 25/1 ca wes,wedding singer,25.3,0.4,no,420 Pharma,Hybrid Indica-dominant,,9.29
bathera 25/1: velvet glove,bathera 25/1,velvet glove,24.1,0.1,no,Bathera,Hybrid Sativa-dominant,,0.0
cannabis flos 8/9 ls ku.basotho even: basotho even,cannabis flos 8/9 ls ku.basotho even,basotho even,8.0,9.0,non-irradiated,Canify,Hybrid,Lesotho,11.66
cannamedical indica classic ury: cheese quake,cannamedical indica classic ury,cheese quake,20.0,0.1,non-irradiated,Cannamedical,Hybrid,Uruguay,0.0
cannabis flos 22/1 pt ku.: mango,cannabis flos 22/1 pt ku.,mango,22.0,1.0,irradiated,Canify,Indica,Portugal,0.0
adrex 15 day col: gelato 45,adrex 15 day col,gelato 45,15.4,0.1,no,Adrex,Hybrid,,0.0
tilray thc 22 spotlight porto iss: island sweet skunk,tilray thc 22 spotlight porto iss,island sweet skunk,22.0,1.0,irradiated,Tilray,Sativa,Portugal,0.0
avaay signature 30/1 cbx: chatterbox,avaay signature 30/1 cbx,chatterbox,29.8,0.1,no,avaay,Hybrid Indica-dominant,Kanada,0.0
30/1 therismos brb: bruce banner,30/1 therismos brb,bruce banner,30.0,1.0,non-irradiated,Therismos,Hybrid,Kanada,0.0
420 compound 25/1 pt tgy: tigerz eye,420 compound 25/1 pt tgy,tigerz eye,23.6,0.2,no,420 Pharma,Hybrid Indica-dominant,Portugal,0.0
remexian 27/1 gjy lpp: lemon pepper punch,remexian 27/1 gjy lpp,lemon pepper punch,,,,,,,0.0
cannabistada gab 30: garlic breath,cannabistada gab 30,garlic breath,30.0,0.1,non-irradiated,Stada,Hybrid,Kanada,0.0
tweed jhr 22: jack herer,tweed jhr 22,jack herer,22.0,0.1,non-irradiated,Canopy Medical,Hybrid,Portugal,0.0
remexian 27/1 pbb: peanut butter breath,remexian 27/1 pbb,peanut butter breath,26.7,1.0,no,Remexian,Hybrid,Kanada,0.0
420 sungrown 25/1 ca zrp: zour apple,420 sungrown 25/1 ca zrp,zour apple,24.72,0.4,no,420 Pharma,Hybrid Indica-dominant,Kanada,0.0
madrecan 18/1: wonder punch,madrecan 18/1,wonder punch,18.0,0.1,no,Remexian,Indica,,0.0
eufloria 30/1 sfr: strawberry froyo,eufloria 30/1 sfr,strawberry froyo,30.0,1.0,non-irradiated,remexian pharma,Hybrid,Kanada,12.26
avaay simple 21/1 chm: chem og,avaay simple 21/1 chm,chem og,21.0,0.1,non-irradiated,Vayamed,Hybrid,Portugal,0.0
hycann kco 27/1 ca: kush cookies,hycann kco 27/1 ca,kush cookies,27.0,0.1,non-irradiated,Hycann Health,Indica,Kanada,0.0
briah gorilla glue forte 27/1: gorilla glue,briah gorilla glue forte 27/1,gorilla glue,27.0,0.1,non-irradiated,Day3 Pharma,Hybrid,Portugal,0.0
wellford aquaponic 32/1 lbo: legendary bozy,wellford aquaponic 32/1 lbo,legendary bozy,32.0,0.1,non-irradiated,Therismos,Hybrid,Kanada,0.0
peace naturals 33/1 gc: gmo cookies,peace naturals 33/1 gc,gmo cookies,33.0,0.1,non-irradiated,Peace Naturals,Indica,Kanada,0.0
bathera 26/1 dank sinatra: dank sinatra,bathera 26/1 dank sinatra,dank sinatra,26.0,0.1,non-irradiated,Bathera,Hybrid,Portugal,0.0
420 evolution 33/1 ca pch: peach chementine,420 evolution 33/1 ca pch,peach chementine,33.05,0.4,no,420 Pharma,Hybrid Indica-dominant,Kanada,11.9
avaay signature 23/1 mc: mandarin cookies,avaay signature 23/1 mc,mandarin cookies,21.5,1.0,no,avaay,Hybrid Sativa-dominant,Kanada,9.95
remexian 27/1 cke flv: flawless victory,remexian 27/1 cke flv,flawless victory,28.6,0.2,no,Remexian,Hybrid Indica-dominant,,0.0
eufloria 30/1 kum: kush mints,eufloria 30/1 kum,kush mints,30.0,0.1,non-irradiated,remexian pharma,Hybrid,Kanada,8.95
demecan craft dosidos 24:01: dosidos,demecan craft dosidos 24:01,dosidos,24.0,0.1,non-irradiated,Demecan,Hybrid,Kanada,0.0
wellford aquaponic 23/1 gth: ghost train haze,wellford aquaponic 23/1 gth,ghost train haze,23.0,0.1,non-irradiated,Therismos,Hybrid,Kanada,0.0
wellford peak 30/1 ca t95: tres dawg x i-95,wellford peak 30/1 ca t95,tres dawg x i-95,30.0,0.1,non-irradiated,Therismos,Hybrid,Kanada,0.0
enua 30/1 tta ca: titanimal,enua 30/1 tta ca,titanimal,30.0,0.1,non-irradiated,enua,Hybrid,Kanada,0.0
huala 20/1 ca alm: alien mints,huala 20/1 ca alm,alien mints,19.39,0.2,no,420 Pharma,Hybrid Indica-dominant,,5.95
pedanios 31/1 cos-ca: cosmic cream,pedanios 31/1 cos-ca,cosmic cream,31.6,0.1,e-beam,Aurora,Indica,Kanada,8.95
cannabistada 19/1: gorilla glue 4,cannabistada 19/1,gorilla glue 4,19.0,0.1,non-irradiated,Stada,Sativa,Kanada,0.0
oht ckz 1: rntz,oht ckz 1,rntz,22.7,0.1,non-irradiated,Cantourage,Hybrid,Kanada,0.0
tilray thc25 spotlight montevideo: purple dog bud,tilray thc25 spotlight montevideo,purple dog bud,25.0,0.1,irradiated,Tilray,Indica,Uruguay,0.0
cannamedical indica forte: el jefe,cannamedical indica forte,el jefe,23.2,0.1,gamma,Cannamedical,Indica,Australien,9.59
enua 27/1 dsh ca: dark shadow haze,enua 27/1 dsh ca,dark shadow haze,27.0,1.0,non-irradiated,enua,Hybrid,Kanada,0.0
enua 25/1 mb ca: mega breath,enua 25/1 mb ca,mega breath,25.0,0.1,non-irradiated,enua,Hybrid,Kanada,0.0
ostara eclipse: life hack,ostara eclipse,life hack,22.1,0.1,non-irradiated,Cantourage,Hybrid,Kanada,0.0
adrex 24/1 can: sour kush,adrex 24/1 can,sour kush,24.0,0.1,non-irradiated,Adrex,Indica,Kanada,0.0
cannabistada 25/1 gg: gorilla glue 4,cannabistada 25/1 gg,gorilla glue 4,25.0,0.1,non-irradiated,Stada,Sativa,Kanada,0.0
apocan natural gg 20/1: gorilla glue 4,apocan natural gg 20/1,gorilla glue 4,20.0,0.1,non-irradiated,Apocan,Hybrid,Kanada,0.0
cannamedical sativa classic: strawberry ice,cannamedical sativa classic,strawberry ice,19.0,0.1,gamma,Cannamedical,Sativa,Kanada,11.99
cm 28/1 po: platinum oranges,cm 28/1 po,platinum oranges,28.0,1.0,non-irradiated,Cannamedical,Hybrid,Kanada,0.0
420 natural 25/1 ca gg4: gorilla glue 4,420 natural 25/1 ca gg4,gorilla glue 4,25.0,0.1,non-irradiated,Four 20 Pharma,Hybrid,Kanada,0.0
sumo canada craft no.4: cement shoes,sumo canada craft no.4,cement shoes,23.1,0.1,non-irradiated,Cantourage,Hybrid,Kanada,0.0
alpinolin 22/1: strawberry glue,alpinolin 22/1,strawberry glue,22.0,0.1,non-irradiated,Swiss Alpino Pharma,Hybrid,Nordmazedonien,0.0
tilray thc 15: white widow,tilray thc 15,white widow,15.0,0.1,irradiated,Tilray,Hybrid,Kanada,0.0
adrex 25/1 wm col: octagon kush,adrex 25/1 wm col,octagon kush,25.0,0.1,non-irradiated,Adrex,Hybrid,Kolumbien,0.0
cannabistada 24/1 pik: pink kush,cannabistada 24/1 pik,pink kush,24.0,1.0,non-irradiated,Stada,Hybrid,Kanada,14.26
cannamedical sativa ultra nm: polar cookies,cannamedical sativa ultra nm,polar cookies,29.7,0.1,non-irradiated,Cannamedical,Sativa,Nordmazedonien,9.99
27/1 amici wc: wedding cake,27/1 amici wc,wedding cake,27.0,0.1,non-irradiated,cansativa,Hybrid,Kanada,0.0
remexian 22/1 flc: frosted lemon cake,remexian 22/1 flc,frosted lemon cake,22.0,0.1,irradiated,remexian pharma,Hybrid,Dänemark,0.0
imc thc22 t05: somango skunk,imc thc22 t05,somango skunk,22.0,0.1,irradiated,IMC,Hybrid,Spanien,0.0
mac 2+: black garlic,mac 2+,black garlic,26.0,0.1,non-irradiated,Cantourage,Hybrid,Kanada,0.0
tilray thc10:cbd10 no.2: warlock cbd,tilray thc10:cbd10 no.2,warlock cbd,10.0,10.0,irradiated,Tilray,Hybrid,Portugal,0.0
cannabis flos 22/1 pt ku.pink kush dab canify: pink kush,cannabis flos 22/1 pt ku.pink kush dab canify,pink kush,22.0,0.1,irradiated,Canify,Hybrid,Portugal,0.0
enua 22/1 gpp ca: gelly popper,enua 22/1 gpp ca,gelly popper,22.0,0.1,non-irradiated,enua,Hybrid,Kanada,0.0
supreme 24/1: frosted lemon cake,supreme 24/1,frosted lemon cake,24.0,0.1,irradiated,WMG Pharma,Hybrid,Dänemark,12.38
cannamedical hybrid forte ng: incredible milk,cannamedical hybrid forte ng,incredible milk,24.0,0.1,non-irradiated,Cannamedical,Hybrid,Kanada,0.0
imc go thc23: selected jokerz #53,imc go thc23,selected jokerz #53,23.0,0.1,non-irradiated,IMC,Hybrid,Israel,0.0
ostara balance: long valley legend,ostara balance,long valley legend,8.6,0.1,non-irradiated,Cantourage,Indica,Kanada,0.0
cannamedical indica light nm: og punch,cannamedical indica light nm,og punch,17.0,0.1,non-irradiated,Cannamedical,Indica,Nordmazedonien,0.0
amp classic 25/1: frosted lemon angel,amp classic 25/1,frosted lemon angel,25.0,0.1,irradiated,AMP,Hybrid,Dänemark,6.49
typ 1 demecan forte: gushers,typ 1 demecan forte,gushers,22.0,0.1,non-irradiated,Demecan,Hybrid,Kanada,0.0
cannamedical hybrid forte: mac 1,cannamedical hybrid forte,mac 1,24.0,0.1,irradiated,Cannamedical,Hybrid,Kanada,0.0
cm 24/1 punch: gelati punch,cm 24/1 punch,gelati punch,24.0,0.1,non-irradiated,Cannamedical,Hybrid,Kolumbien,0.0
cannabis 1a 18/1: white widow,cannabis 1a 18/1,white widow,18.0,0.1,irradiated,Weeco Pharma,Hybrid,Dänemark,0.0
remexian 20/1 gjy fco: frosted cookies,remexian 20/1 gjy fco,frosted cookies,20.0,0.1,non-irradiated,remexian pharma,Hybrid,Kanada,9.52
imc cbd14 c01: god bud,imc cbd14 c01,god bud,1.0,14.0,irradiated,IMC,Hybrid,Spanien,10.0
together pharma cassiopeia: ninja,together pharma cassiopeia,ninja,20.0,0.1,non-irradiated,Cantourage,Hybrid,Uganda,0.0
drapalin 1/17 maluti cbd: otto kush x acdc,drapalin 1/17 maluti cbd,otto kush x acdc,1.0,17.0,non-irradiated,Drapalin Pharmaceuticals,Hybrid,Lesotho,0.0
barrocas pmk 26/1: premium mandarine kush,barrocas pmk 26/1,premium mandarine kush,26.0,1.0,non-irradiated,cansativa,Sativa,Portugal,0.0
cumulus hybrid: lemon berry candy,cumulus hybrid,lemon berry candy,23.7,0.1,non-irradiated,Cantourage,Hybrid,Neuseeland,0.0
eufloria 30/1 mcd: mac deluxe,eufloria 30/1 mcd,mac deluxe,30.0,0.1,non-irradiated,remexian pharma,Hybrid,Kanada,12.26
420 natural 18/1 ca zrp: zour apple,420 natural 18/1 ca zrp,zour apple,18.0,0.1,non-irradiated,Four 20 Pharma,Hybrid,Kanada,0.0
cannamedical indica classic: crazy rntz,cannamedical indica classic,crazy rntz,20.0,0.1,irradiated,Cannamedical,Indica,Kanada,0.0
adrex 26/1 ak col: arequipe kush,adrex 26/1 ak col,arequipe kush,26.0,0.1,non-irradiated,Adrex,Hybrid,Kolumbien,0.0
demecan 24:01 gasolime: karel's haze,demecan 24:01 gasolime,karel's haze,24.0,0.1,non-irradiated,Demecan,Hybrid,Südafrika,0.0
canopy akh 24: afghan kush,canopy akh 24,afghan kush,24.0,0.1,irradiated,Canopy Medical,Indica,Kanada,13.09
remexian 22/1 gg4 minis: gorilla glue 4,remexian 22/1 gg4 minis,gorilla glue 4,22.0,0.1,non-irradiated,remexian pharma,Hybrid,Portugal,0.0
cannamedical hybrid classic nm: blueberry headband,cannamedical hybrid classic nm,blueberry headband,20.0,0.1,non-irradiated,Cannamedical,Hybrid,Nordmazedonien,0.0
tilray thc18 spotlight porto: frosted cherry cookies,tilray thc18 spotlight porto,frosted cherry cookies,18.0,1.0,non-irradiated,,Indica,Portugal,0.0
ostara dt: dirty taxi,ostara dt,dirty taxi,27.0,0.1,non-irradiated,Cantourage,Hybrid,Kanada,0.0
pedanios 8/8 dnk: equiposa,pedanios 8/8 dnk,equiposa,8.0,8.0,irradiated,Aurora,Hybrid,Dänemark,0.0
social choice 12/1 gro dos: do-si-dos,social choice 12/1 gro dos,do-si-dos,12.0,0.1,non-irradiated,remexian pharma,Hybrid,Portugal,0.0
tikun erez 20/1: erez,tikun erez 20/1,erez,20.0,0.1,non-irradiated,Dopiopharm GmbH,Indica,Griechenland,9.4
cannamedical hybrid classic: waffle cone #2,cannamedical hybrid classic,waffle cone #2,21.0,0.1,irradiated,Cannamedical,Hybrid,Kanada,0.0
canopy ogd 25: og deluxe,canopy ogd 25,og deluxe,25.0,0.1,irradiated,Canopy Medical,Indica,Kanada,0.0
cannabis flos 30/1 por ku.chapel of love: chapel of love,cannabis flos 30/1 por ku.chapel of love,chapel of love,30.0,0.1,non-irradiated,Canify,Hybrid,Portugal,0.0
cannabis flos 23/1 prt ku.black cherry pie: black cherry pie,cannabis flos 23/1 prt ku.black cherry pie,black cherry pie,23.0,0.1,non-irradiated,Canify,Indica,Portugal,0.0
enua 25/1 afsc: animal face sherb crasher,enua 25/1 afsc,animal face sherb crasher,25.0,0.1,non-irradiated,enua,Hybrid,Kanada,12.85
cannabis flos 18/1 uy ku. gorilla glue: gorilla glue 4,cannabis flos 18/1 uy ku. gorilla glue,gorilla glue 4,18.0,0.1,non-irradiated,Canify,Hybrid,Uruguay,0.0
demecan craft magister 31:01: black marker,demecan craft magister 31:01,black marker,31.0,0.1,non-irradiated,Demecan,Hybrid,Kanada,0.0
cm 24/1 sun: sweet sunrise,cm 24/1 sun,sweet sunrise,24.0,0.1,non-irradiated,Cannamedical,Hybrid,Kanada,0.0
enua 20/1 anf ca: animal face,enua 20/1 anf ca,animal face,20.0,0.1,non-irradiated,enua,Hybrid,Kanada,0.0
tilray thc18 spotlight porto: jean guy,tilray thc18 spotlight porto,jean guy,18.0,0.1,irradiated,Tilray,Hybrid,Portugal,0.0
420 evolution 27/1 ca str: star struck,420 evolution 27/1 ca str,star struck,27.0,0.1,non-irradiated,Four 20 Pharma,Hybrid,Kanada,0.0
sibanax gmo zkittlez 21/1: gmo zkittlez,sibanax gmo zkittlez 21/1,gmo zkittlez,21.0,0.1,non-irradiated,Heyday,Hybrid,Dänemark,0.0
cannamedical hybrid forte dk: sms,cannamedical hybrid forte dk,sms,24.0,0.1,non-irradiated,Cannamedical,Hybrid,Dänemark,0.0
tilray thc 18 spotlight porto:  island sweet skunk,tilray thc 18 spotlight porto,island sweet skunk,18.8,1.0,,Tilray,Sativa,,0.0
kejf. wrm 21/1: white runtz x menthol,kejf. wrm 21/1,white runtz x menthol,20.4,0.1,no,Medical CNBS,Indica,Kanada,0.0
remexian 30/1 prt tft: think fast,remexian 30/1 prt tft,think fast,30.0,1.0,non-irradiated,remexian pharma,Hybrid,unbestrahlt,0.0
amp classic 18/1 primary: white widow,amp classic 18/1 primary,white widow,18.0,0.1,irradiated,AMP,Hybrid,Dänemark,9.52
demecan truu gt 31:01: cookies og,demecan truu gt 31:01,cookies og,31.0,1.0,non-irradiated,Demecan,Hybrid,Kanada,0.0
green karat fs pt: fiji sunset,green karat fs pt,fiji sunset,25.8,0.1,non-irradiated,Cantourage,Hybrid,Kanada,0.0
drapalin 30/1 kukis: animal cookies,drapalin 30/1 kukis,animal cookies,30.0,0.1,non-irradiated,Drapalin Pharmaceuticals,Hybrid,Tschechien,0.0
tilray thc 9 : cbd 9: warlock,tilray thc 9,cbd 9: warlock,8.5,8.1,e-beam,Tilray,Hybrid,,0.0
adrex 22/1 can: gorilla glue 4,adrex 22/1 can,gorilla glue 4,22.0,0.1,non-irradiated,Adrex,Sativa,Kanada,0.0
ceres no.3: space dust,ceres no.3,space dust,25.0,0.1,non-irradiated,Cantourage,Hybrid,Kanada,0.0
tilray thc22 spotlight porto: biscuit runtz,tilray thc22 spotlight porto,biscuit runtz,22.0,0.1,irradiated,Tilray,Hybrid,Portugal,0.0
avaay 26/1 sk: sour kush,avaay 26/1 sk,sour kush,26.0,0.1,non-irradiated,Vayamed,Hybrid,Kanada,0.0
mediprocan african ruby 20/1: mimosa,mediprocan african ruby 20/1,mimosa,20.0,1.0,non-irradiated,mediproCan Pharma,Hybrid,Südafrika,0.0
demecan mc strong drop: magic marker,demecan mc strong drop,magic marker,26.3,0.3,no,Demecan,Hybrid Indica-dominant,,0.0
nimbus easy 26/1: french cookies,nimbus easy 26/1,french cookies,24.2,0.1,no,Nimbus,Hybrid Indica-dominant,,0.0
huala 22/1 ca btr: black triangle,huala 22/1 ca btr,black triangle,22.85,0.2,no,420 Pharma,Hybrid Indica-dominant,,0.0
khiron g 19/1: gelato 44,khiron g 19/1,gelato 44,19.0,0.1,non-irradiated,Pharmadrug,Hybrid,Portugal,9.12
typ 1 aurora: island sweet skunk,typ 1 aurora,island sweet skunk,19.0,0.1,irradiated,BfArM,Sativa,Deutschland,0.0
