key-flower,product-name,cultivar,thc-level,cbd-level,radiation,wholesaler,genetic,origin,lowest-offer
420 evolution 30/1 ca pch: peach chementine,420 evolution 30/1 ca pch,peach chementine,28.0,0.1,no,420 Pharma,Hybrid Indica-dominant,Kanada,10.19
remexian 20/1: frosted lemon cake,remexian 20/1,frosted lemon cake,20.1,0.2,e-beam,Remexian,Hybrid Indica-dominant,,0.0
420 compound 22/1 ca mwz: mellowz #8,420 compound 22/1 ca mwz,mellowz #8,22.12,0.4,no,420 Pharma,Hybrid Indica-dominant,Kanada,10.49
420 evolution 22/1 ca pld: plum driver,420 evolution 22/1 ca pld,plum driver,21.49,1.0,no,420 Pharma,Hybrid Indica-dominant,Kanada,8.95
cannamedical indica classic ury: dawg bud fusion,cannamedical indica classic ury,dawg bud fusion,20.8,0.1,no,Cannamedical,Indica,Uruguay,0.0
420 natural 22/1 ca gg: gorilla glue 4,420 natural 22/1 ca gg,gorilla glue 4,20.72,0.2,no,420 Pharma,Hybrid Indica-dominant,,9.49
alephsana amber 20: mango kush,alephsana amber 20,mango kush,18.27,0.06,no,alephSana,Hybrid,,0.0
cnbs fk 30/1: florida kush,cnbs fk 30/1,florida kush,30.6,0.1,no,Medical CNBS,Hybrid Indica-dominant,Kanada,0.0
curaleaf natural 25/1 pt wpt: wedding pop triangle,curaleaf natural 25/1 pt wpt,wedding pop triangle,25.12,0.4,no,Adven,Sativa,,0.0
madrecan 21/1 mdr: mac driver,madrecan 21/1 mdr,mac driver,21.0,1.0,irradiated,remexian pharma,Hybrid,Portugal,0.0
cannabis flos 18/1 pt ku.: mango,cannabis flos 18/1 pt ku.,mango,18.0,1.0,non-irradiated,Canify,Hybrid,Portugal,0.0
remexian 30/1 sck: strawberry cookies,remexian 30/1 sck,strawberry cookies,30.0,1.0,non-irradiated,remexian pharma,Hybrid,Portugal,0.0
pedanios 8/8: equiposa,pedanios 8/8,equiposa,8.0,8.0,irradiated,Aurora,Hybrid,Kanada,0.0
green karat fs pt: fuji sunset,green karat fs pt,fuji sunset,25.8,1.0,non-irradiated,Cantourage,Hybrid,Kanada,0.0
navcora thc 18 spotlight porto: sirius,navcora thc 18 spotlight porto,sirius,22.0,1.0,irradiated,Navcora,Indica,Portugal,0.0
